full_text,positive_score,negative_score,booster_score,negation_score,policy_score,confidence,suggestion,need_review,positive_words,negative_words,booster_words,negation_words,policy_words,final_label
saat ini ada wakil menteri yang juga menjabat sebagai komisaris bumn padahal putusan nomor puu xxi jelas menegaskan bahwa wakil menteri tidak boleh rangkap jabatan,5.0,3.0,0,1,2,0.85,positive,False,"ada, putusan, jelas, menegaskan, rangkap","yang, sebagai, boleh",,tidak,"menteri, menteri",
purbaya baru saja dapat perintah dari prabowo tentang prabowo memutuskan membubarkan bea cukai banyak kasus korupsi pejabat pegawai kemenkeu ditangkap kpk di awal terkait kasus tersangka korupsi jika dalam waktu setahun tidak ada perbaikan lembaga ini akan,7.0,10.0,0,1,2,1.0,negative,False,"dapat, tentang, banyak, pegawai, awal, dalam, perbaikan","saja, dari, memutuskan, korupsi, pejabat, terkait, tersangka, korupsi, ada, lembaga",,tidak,"korupsi, korupsi",
dan ternyata ahli dpr dalam gugatan mbg di anggaran pendidikan adalah dekan fh ui dekan saya sendiri bapak parulian paidi aritonang betapa kecewanya dan sedihnya saya ketika menyaksikan hal tersebut dan vis a vis dengannya di mk,4.0,5.0,0,0,2,0.7008,negative,False,"ahli, dalam, betapa, menyaksikan","gugatan, saya, sendiri, sedihnya, saya",,,"dpr, anggaran",
mbg sedang off selama libur sekolah apakah ada siswa yang berteriak kelaparan atau sakit karena kurang asupan gizi selama liburan,5.0,6.0,0,0,0,0.7375,negative,False,"libur, sekolah, ada, siswa, liburan","yang, berteriak, kelaparan, sakit, karena, kurang",,,,
hakim mk saya bacakan dari saksi ahli pemerintah dia ini guru besar mengajar di perguruan tinggi standar tunjangan minimal rp sampai dengan rp kali perguruan tinggi maka minimum dia dapat rp dan maksimum rp buset ngajar,8.0,7.0,0,0,0,0.7042,positive,False,"saksi, ahli, guru, besar, tinggi, sampai, tinggi, dapat","saya, dari, dia, standar, tunjangan, minimal, dia",,,,
lulusan harvard dan stanford university tidak laku di negara ini yang ada jadi bawahan mereka ini tips sukses di indo cukup jadi penjilat presiden jadi tim sukses waktu pilpres kalo bisa ada adegan nangis poin,11.0,6.0,0,1,2,1.0,positive,False,"ada, jadi, tips, sukses, cukup, jadi, presiden, jadi, sukses, ada, poin","yang, bawahan, indo, tim, adegan, nangis",,tidak,"negara, presiden",
mahasiswa ui gelar demo di mabes polri saat hut bhayangkara rabu nj,1.0,1.0,0,0,1,0.5117,neutral,True,gelar,demo,,,mahasiswa,
tni hadir membantu pemerintah atasi kesulitan rakyat tnipolriindonesia viral hut kdm presiden,3.0,1.0,0,0,1,0.8533,positive,False,"hadir, membantu, presiden",kesulitan,,,presiden,
tersangka baru koruptor mbg beliau juga polisi aktif inikah polri yang dibanggakan sama presiden prabowo korupsi di depan mata gini juta lapangan kerja untuk koruptor negara sakit,6.0,5.0,0,0,3,0.7619,positive,False,"aktif, sama, presiden, juta, lapangan, kerja","tersangka, yang, korupsi, mata, sakit",,,"presiden, korupsi, negara",
lo semua pasti udah denger juni nadiem makarim divonis tahun penjara sama pengadilan tipikor jakpus kasus korupsi pengadaan chromebook kerugian negara rp triliun tapi sebelum lo simpulin apa apa saya ajak bedah utuh tahun kepemimpinannya di,5.0,8.0,0,0,2,1.0,negative,False,"pasti, sama, ajak, bedah, utuh","semua, denger, penjara, korupsi, kerugian, apa, apa, saya",,,"korupsi, negara",
mbg gagal ikn mangkrak kopdes tidak karuan program pemerintah yang berjalan mulus cuma menaikan pajak doang tokay,2.0,4.0,0,1,2,0.8582,negative,False,"mulus, doang","gagal, yang, cuma, pajak",,tidak,"ikn, pajak",
sedih dan kecewa banget sama pemerintah dosen ngajar belasan tahun tapi gajinya jt bulan baru bulan terakhir naik jadi jt gedean gaji pegawai mbg pas pidato bilang duitnya tidak ada giliran buat latihan pegawai kopdes anggarannya jt orang,9.5,6.5,1,1,0,1.0,positive,False,"banget, sama, naik, jadi, pegawai, pas, giliran, buat, pegawai","sedih, kecewa, bulan, bulan, ada, latihan",banget,tidak,,
guys ini berita yang kedengarannya membosankan tapi dampaknya ke kantong lo lebih nyata dari yang lo kira menteri keuangan kita baru bilang pemerintah sedang mempertimbangkan untuk melebarkan defisit apbn di atas persen saya jelasin dulu apa artinya buat lo yang gatau defisit,7.5,13.5,1,0,2,1.0,negative,False,"guys, kantong, lebih, nyata, kira, persen, buat","berita, yang, membosankan, dari, yang, mempertimbangkan, defisit, atas, saya, apa, yang, gatau, defisit",lebih,,"menteri, apbn",
berita keracunan mbg udah sampai jerman media jerman reuters meliput keracunan di jawa barat september lalu gubernur jawa barat kdm bilang kalau ada wilayah di jawa barat yang terdampak lebih dari siswa terdampak sampai jerman malu tidak tuh,10.5,6.5,1,1,0,1.0,positive,False,"sampai, jawa, lalu, jawa, ada, jawa, lebih, siswa, sampai, malu","berita, keracunan, keracunan, kalau, yang, dari",lebih,tidak,,
tahun harga minyak dunia sedang naik subsidi bbm dari apbn membengkak keadaan fiskal sempit mau ini susah mau itu susah mesti ada anggaran yang dilonggarkan presiden sby berkoordinasi dengan dpr dan mpr untuk meminta persetujuan agar tidak makin membengkak,10.5,10.5,1,1,7,0.7346,neutral,False,"harga, dunia, naik, subsidi, mau, mau, ada, presiden, meminta, persetujuan","dari, fiskal, sempit, susah, itu, susah, mesti, yang, agar, makin",makin,tidak,"subsidi, bbm, apbn, anggaran, presiden, dpr, mpr",
tidak bisa menangani bencana sumatra dibelain keluar negeri terus dibelain kurban pakai apbn dibelain rupiah melemah dibelain bbm naik dibelain harga kebutuhan pokok naik dibelain phk massal terjadi dibelain daya beli masyarakat turun dibelain utang,8.0,6.0,0,1,3,0.89,positive,False,"naik, harga, kebutuhan, pokok, naik, terjadi, beli, turun","bencana, keluar, kurban, melemah, phk, utang",,tidak,"apbn, rupiah, bbm",
fatimah ditanya masalah apa yang didepan mata pada saat ini dan langsung kasih contoh mbg masalah masa lalu yang masih adalah korupsi mbg bahkan kepala nya dicopot karena korupsi menangkap seseorang yang ternyata diduga korupsi itu bukan sebuah pembaharuan namun kewajiban,5.0,14.0,0,1,3,1.0,negative,False,"langsung, kasih, contoh, lalu, menangkap","masalah, apa, yang, mata, pada, masalah, yang, korupsi, karena, korupsi, yang, korupsi, itu, kewajiban",,bukan,"korupsi, korupsi, korupsi",
kuasa hukum nadiem ini preseden jelek hati hati kalian dari swasta yang jadi menteri jangan coba coba maka akan kena pidana,7.0,6.0,0,1,1,0.7548,positive,False,"kuasa, hukum, preseden, hati, hati, jadi, coba","jelek, dari, yang, coba, kena, pidana",,jangan,menteri,
btw ternyata banyak orang yang clueless tentang berita sama sekali ada loh yang tidak tau kalau nadiem divonis kemarin ada loh yang tidak tau kalau mahasiswa demo mbg itu karena pemborosan anggaran triliun per hari ada loh yang tidak tau kalau dadan ditangkap kejaksaan,9.5,13.5,1,3,2,1.0,negative,False,"banyak, tentang, sama, ada, tau, ada, tau, ada, tau","yang, berita, sekali, yang, kalau, yang, kalau, demo, itu, karena, pemborosan, yang, kalau",sekali,"tidak, tidak, tidak","mahasiswa, anggaran",
tidak semua kebijakan yang saya ambil mendapat dukungan penuh dari publik contohnya saat pemerintah memutuskan mengalihkan subsidi bbm untuk membangun infrastruktur namun hasilnya jelas kita berhasil menurunkan biaya logistik mengurangi jumlah desa tertinggal dan,8.0,9.0,0,1,2,0.745,negative,False,"semua, kebijakan, mendapat, dukungan, penuh, subsidi, jelas, berhasil","yang, saya, ambil, dari, memutuskan, mengalihkan, menurunkan, mengurangi, tertinggal",,tidak,"subsidi, bbm",
guys saya mau cerita tentang sesuatu yang jarang dibahas secara serius bj habibie menjabat presiden cuma bulan dan banyak orang mengenang dia cuma sebagai ilmuwan pesawat terbang yang romantis sama ainun padahal dia melakukan sesuatu yang secara ekonomi hampir tidak masuk,10.0,13.0,0,1,2,1.0,negative,False,"guys, mau, cerita, tentang, presiden, banyak, mengenang, romantis, sama, masuk","saya, yang, serius, cuma, bulan, dia, cuma, sebagai, pesawat, yang, dia, yang, hampir",,tidak,"presiden, ekonomi",
bocah paling beruntung di indonesia riwayat pendidikan tidak jelas tapi bisa jadi walikota dan wakil presiden menangis pendiri republik melihat kenyataan ini,4.5,2.5,1,1,1,0.8595,positive,False,"beruntung, jadi, presiden, melihat","jelas, menangis",paling,tidak,presiden,
berita di tv argentina murid keracunan mbg di sragen jawa tengah kejadian agustus ratusan murid menderita sakit kepala dan diare,5.0,5.0,0,0,0,0.575,neutral,True,"murid, jawa, tengah, kejadian, murid","berita, keracunan, menderita, sakit, diare",,,,
pemerintah wujudkan janji soal lapangan kerja pemerintahindonesia presiden mbg rakyat mahasiswa,4.0,1.0,0,0,2,1.0,positive,False,"janji, lapangan, kerja, presiden",soal,,,"presiden, mahasiswa",
nah pas banget kemarin banyak yang demo dukung mbg langsung saja ikut nyumbang,5.5,4.5,1,0,0,0.8223,positive,False,"pas, banget, banyak, dukung, langsung","yang, demo, saja, ikut",banget,,,
kok udah tidak perna bahasa rupiah lagi,0.0,2.0,0,1,1,0.8214,negative,False,,"bahasa, lagi",,tidak,rupiah,
alasan investor asing kabur menurut tom lembong regulasi berubah ubah sesuai keinginan yang berkuasa tidak konsisten tidak bisa diprediksi kriminalisasi nyata nadiem tom lembong bri ventures telkom ventures semua dikriminalisasi danantara tidak transparan laporan,5.0,8.0,0,3,1,0.9556,negative,False,"menurut, sesuai, keinginan, berkuasa, nyata","alasan, asing, kabur, yang, konsisten, semua, transparan, laporan",,"tidak, tidak, tidak",danantara,
pemerintah bisa bersikap seolah semuanya baik baik saja tetapi melemahnya nilai tukar rupiah tidak bisa berbohong ada yang salah dengan negeri ini dan yang lebih menyedihkan para pemimpinnya seakan tidak mau menerima kenyataan,9.5,7.5,1,2,1,0.8888,positive,False,"semuanya, baik, baik, nilai, tukar, ada, lebih, para, menerima","saja, berbohong, yang, salah, yang, menyedihkan, mau",lebih,"tidak, tidak",rupiah,
jangankan pemain timnas presiden anda prabowo saja pernah keliatan nonton pake streaming ilegal twitter pas tahun lalu,4.0,5.0,0,0,1,0.7524,negative,False,"presiden, keliatan, pas, lalu","jangankan, pemain, anda, saja, ilegal",,,presiden,
jokowi main raja rajaan di lampung ternyata hanya settingan sendiri dan pelakunya semua orang bermasalah dengan korupsi jokowi terminal orang bermasalah gas pol mbak novie,1.0,10.0,0,0,1,1.0,negative,False,main,"hanya, sendiri, pelakunya, semua, bermasalah, korupsi, terminal, bermasalah, gas, pol",,,korupsi,
lucunya negeri pam perusahaan air minum airnya tidak bisa diminum mbg makan bergizi gratis tidak bergizi dan tidak gratis ikn ibu kota negara statusnya bukan ibukota negara kpk komisi pemberantasan korupsi korupsinya malah makin merajalela dpr,6.5,8.5,1,4,5,0.9042,negative,False,"perusahaan, makan, bergizi, gratis, komisi, makin","lucunya, air, minum, bergizi, gratis, kota, korupsi, merajalela",makin,"tidak, tidak, tidak, bukan","ikn, negara, negara, korupsi, dpr",
bayangin jadi anak kecil yang tiap hari datang ke sekolah begini bukan minta fasilitas mewah cuma tempat belajar yang layak saja rasanya masih sulit didapat mirisnya pemerintah lebih sering sibuk jual mimpi daripada beresin masalah paling dasar kalian masih yakin pendidikan,14.0,12.0,2,1,0,0.9485,positive,False,"jadi, sekolah, fasilitas, mewah, belajar, layak, sulit, lebih, sering, sibuk, jual, mimpi, yakin","anak, kecil, yang, datang, begini, minta, cuma, tempat, yang, saja, masalah","lebih, paling",bukan,,
tokoh tokoh anti korupsi pakar hukum bahkan ketua tim perumus uu tipikor menyebut nadiem harusnya bebas karena tidak ada unsur korupsi nadiem dengan suara bergetar saya sudah gatau lagi harus minta tolong ke siapa harapan saya satu satunya adalah kepada rakyat indonesia,12.0,12.0,0,1,2,0.6129,neutral,True,"tokoh, tokoh, hukum, menyebut, bebas, suara, bergetar, sudah, minta, tolong, siapa, satu","anti, korupsi, pakar, tim, karena, ada, korupsi, saya, gatau, lagi, harus, saya",,tidak,"korupsi, korupsi",
bagi yang belum yakin tentang rapor merah prabowo gibran nilai tukar rupiah terendah sepanjang sejarah kabinet tergemuk sepanjang sejarah presiden paling sibuk ke luar negeri dan wapres paling tidak berguna sepanjang sejarah kunjungan dalam thn sementara jokowi,9.0,6.0,2,2,3,1.0,positive,False,"bagi, tentang, merah, nilai, tukar, presiden, sibuk, dalam","yang, yakin, kabinet, berguna, sementara","paling, paling","belum, tidak","rupiah, kabinet, presiden",
prabowo lagi lagi masuk media asing karena bank asing pilih cabut daripada ikut agenda prabowo triliun rupiah juta ditarik citigroup stanchart hsbc sejak ojk diduga lobi bank untuk biayai mbg dan kopdes sebab takut kebijakan prabowo terlalu dikuasai negara,4.5,10.5,1,0,2,1.0,negative,False,"juta, sebab, takut, kebijakan","lagi, lagi, masuk, asing, karena, asing, pilih, cabut, ikut, terlalu",terlalu,,"rupiah, negara",
pembahasan mbg di acara di korea mbg adalah program ambisius presiden prabowo untuk memberi makan siang juta orang terbesar di dunia dalam setahun pertama penerimanya juta orang bagus dong tapi ternyata banyak kendala a awal juni kepala bgn,13.0,0.0,0,0,1,1.0,positive,False,"pembahasan, ambisius, presiden, memberi, makan, juta, terbesar, dunia, dalam, juta, bagus, banyak, awal",,,,presiden,
keren sih ini hahaha aksi demo mahasiswa ui hari ini membawa keranda namun dicegat sama polisi di depan mabes polri semangat temen semuaa indonesiagelap,4.0,1.0,0,0,1,0.9721,positive,False,"keren, aksi, sama, semangat",demo,,,mahasiswa,
bem ui sedang turun aksi tolak mbg di cfd sudirman pagi ini keren abis,5.0,1.0,0,0,0,1.0,positive,False,"turun, aksi, pagi, keren, abis",tolak,,,,
